language_code,canonical_iso639_3,display_name,mapping_source
arh,arh,Arhuaco,iso639_3
ari,ari,Arikara,iso639_3
arj,arj,Arapaso,iso639_3
ark,ark,Arikapú,iso639_3
arl,arl,Arabela,iso639_3
arm,hye,Armenian,iso639_2_bibliographic_alias
arn,arn,Mapudungun,iso639_3
aro,aro,Araona,iso639_3
arp,arp,Arapaho,iso639_3
arq,arq,Algerian Arabic,iso639_3
arr,arr,Karo (Brazil),iso639_3
ars,ars,Najdi Arabic,iso639_3
art,art,Artificial languages,iso639_5_collection
aru,aru,Aruá (Amazonas State),iso639_3
arv,arv,Arbore,iso639_3
arw,arw,Arawak,iso639_3
arx,arx,Aruá (Rodonia State),iso639_3
ary,ary,Moroccan Arabic,iso639_3
arz,arz,Egyptian Arabic,iso639_3
asa,asa,Asu (Tanzania),iso639_3
asb,asb,Assiniboine,iso639_3
asc,asc,Casuarina Coast Asmat,iso639_3
ase,ase,American Sign Language,iso639_3
asf,asf,Auslan,iso639_3
asg,asg,Cishingini,iso639_3
ash,ash,Abishira,iso639_3
asi,asi,Buruwai,iso639_3
asj,asj,Sari,iso639_3
ask,ask,Ashkun,iso639_3
asl,asl,Asilulu,iso639_3
asm,asm,Assamese,iso639_3
asn,asn,Xingú Asuriní,iso639_3
aso,aso,Dano,iso639_3
asp,asp,Algerian Sign Language,iso639_3
asq,asq,Austrian Sign Language,iso639_3
asr,asr,Asuri,iso639_3
ass,ass,Ipulo,iso639_3
ast,ast,Asturian,iso639_3
asu,asu,Tocantins Asurini,iso639_3
asv,asv,Asoa,iso639_3
asw,asw,Australian Aborigines Sign Language,iso639_3
asx,asx,Muratayak,iso639_3
asy,asy,Yaosakor Asmat,iso639_3
asz,asz,As,iso639_3
ata,ata,Pele-Ata,iso639_3
atb,atb,Zaiwa,iso639_3
atc,atc,Atsahuaca,iso639_3
atd,atd,Ata Manobo,iso639_3
ate,ate,Atemble,iso639_3
atg,atg,Ivbie North-Okpela-Arhe,iso639_3
ath,ath,Athapascan languages,iso639_5_collection
ati,ati,Attié,iso639_3
atj,atj,Atikamekw,iso639_3
atk,atk,Ati,iso639_3
atl,atl,Mt. Iraya Agta,iso639_3
atm,atm,Ata,iso639_3
atn,atn,Ashtiani,iso639_3
ato,ato,Atong (Cameroon),iso639_3
atp,atp,Pudtol Atta,iso639_3
atq,atq,Aralle-Tabulahan,iso639_3
atr,atr,Waimiri-Atroari,iso639_3
ats,ats,Gros Ventre,iso639_3
att,att,Pamplona Atta,iso639_3
atu,atu,Reel,iso639_3
atv,atv,Northern Altai,iso639_3
atw,atw,Atsugewi,iso639_3
atx,atx,Arutani,iso639_3
aty,aty,Aneityum,iso639_3
atz,atz,Arta,iso639_3
aua,aua,Asumboa,iso639_3
aub,aub,Alugu,iso639_3
auc,auc,Waorani,iso639_3
aud,aud,Anuta,iso639_3
auf,auf,Arauan languages,iso639_5_collection
aug,aug,Aguna,iso639_3
auh,auh,Aushi,iso639_3
aui,aui,Anuki,iso639_3
auj,auj,Awjilah,iso639_3
auk,auk,Heyo,iso639_3
aul,aul,Aulua,iso639_3
aum,aum,Asu (Nigeria),iso639_3
aun,aun,Molmo One,iso639_3
auo,auo,Auyokawa,iso639_3
aup,aup,Makayam,iso639_3
auq,auq,Anus,iso639_3
aur,aur,Aruek,iso639_3
aus,aus,Australian languages,iso639_5_collection
aut,aut,Austral,iso639_3
auu,auu,Auye,iso639_3
auw,auw,Awyi,iso639_3
aux,aux,Aurá,iso639_3
auy,auy,Awiyaana,iso639_3
auz,auz,Uzbeki Arabic,iso639_3
ava,ava,Avaric,iso639_3
avb,avb,Avau,iso639_3
avd,avd,Alviri-Vidari,iso639_3
ave,ave,Avestan,iso639_3
avi,avi,Avikam,iso639_3
avk,avk,Kotava,iso639_3
avl,avl,Eastern Egyptian Bedawi Arabic,iso639_3
avm,avm,Angkamuthi,iso639_3
avn,avn,Avatime,iso639_3
avo,avo,Agavotaguerra,iso639_3
avs,avs,Aushiri,iso639_3
avt,avt,Au,iso639_3
avu,avu,Avokaya,iso639_3
avv,avv,Avá-Canoeiro,iso639_3
awa,awa,Awadhi,iso639_3
awb,awb,Awa (Papua New Guinea),iso639_3
awc,awc,Cicipu,iso639_3
awd,awd,Arawakan languages,iso639_5_collection
awe,awe,Awetí,iso639_3
awg,awg,Anguthimri,iso639_3
awh,awh,Awbono,iso639_3
awi,awi,Aekyom,iso639_3
awk,awk,Awabakal,iso639_3
awm,awm,Arawum,iso639_3
awn,awn,Awngi,iso639_3
awo,awo,Awak,iso639_3
awr,awr,Awera,iso639_3
aws,aws,South Awyu,iso639_3
awt,awt,Araweté,iso639_3
awu,awu,Central Awyu,iso639_3
awv,awv,Jair Awyu,iso639_3
aww,aww,Awun,iso639_3
awx,awx,Awara,iso639_3
awy,awy,Edera Awyu,iso639_3
axb,axb,Abipon,iso639_3
axe,axe,Ayerrerenge,iso639_3
axg,axg,Mato Grosso Arára,iso639_3
axk,axk,Yaka (Central African Republic),iso639_3
axl,axl,Lower Southern Aranda,iso639_3
axm,axm,Middle Armenian,iso639_3
axx,axx,Xârâgurè,iso639_3
aya,aya,Awar,iso639_3
ayb,ayb,Ayizo Gbe,iso639_3
ayc,ayc,Southern Aymara,iso639_3
ayd,ayd,Ayabadhu,iso639_3
aye,aye,Ayere,iso639_3
ayg,ayg,Ginyanga,iso639_3
ayh,ayh,Hadrami Arabic,iso639_3
